Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Description
1	Spectrogram 1	1	11.975116262	14.777803047	586.9	712.8	2.803	687.5;687.5;675.8;695.3;695.3;695.3;671.9;710.9;648.4;707.0;707.0;593.8;601.6;601.6;593.8;601.6;605.5;613.3;613.3;617.2;597.7;652.3;671.9;695.3;695.3;703.1;683.6;660.2;707.0;707.0;648.4;644.5;636.7;628.9;628.9	4.296	613.3	23.4	ascending shriek
2	Spectrogram 1	1	25.224181063	27.517288433	565.6	673.8	2.293	609.4;574.2;574.2;656.2;656.2;628.9;628.9;625.0;625.0;652.3;578.1;582.0;582.0;582.0;582.0;589.8;589.8;613.3;628.9;628.9;660.2;605.5;605.5;632.8;664.1;613.3;605.5;605.5;625.0	4.596	628.9	39.1	ascending shriek
3	Spectrogram 1	1	34.141820833	37.199297326	606.4	693.3	3.057	644.5;640.6;679.7;644.5;613.3;640.6;640.6;613.3;609.4;609.4;609.4;664.1;609.4;609.4;679.7;679.7;625.0;625.0;625.0;660.2;660.2;671.9;664.1;664.1;664.1;664.1;617.2;648.4;644.5;671.9;668.0;668.0;652.3;671.9;644.5;644.5;644.5;656.2	3.826	660.2	15.6	ascending shriek
4	Spectrogram 1	1	36.434928203	38.473245864	627.7	725.2	2.038	671.9;668.0;668.0;695.3;695.3;722.7;722.7;710.9;722.7;683.6;683.6;640.6;683.6;683.6;710.9;636.7;668.0;710.9;710.9;718.8;695.3;707.0;707.0;707.0;714.8	4.194	710.9	39.1	ascending shriek
5	Spectrogram 1	1	40.766353234	42.549881188	441.5	494.7	1.784	457.0;488.3;488.3;488.3;480.5;472.7;468.8;472.7;472.7;468.8;468.8;457.0;457.0;453.1;464.8;476.6;457.0;453.1;457.0;468.8;460.9;460.9	3.148	472.7	11.7	descending moan
6	Spectrogram 1	1	55.130040210	61.615927294	347.5	409.6	6.486	375.0;375.0;371.1;367.2;367.2;386.7;386.7;406.2;406.2;394.5;398.4;406.2;386.7;386.7;382.8;375.0;375.0;347.7;363.3;363.3;406.2;359.4;359.4;367.2;406.2;406.2;351.6;382.8;382.8;378.9;347.7;398.4;398.4;367.2;367.2;398.4;402.3;402.3;398.4;398.4;390.6;394.5;394.5;386.7;386.7;386.7;386.7;386.7;378.9;378.9;378.9;363.3;371.1;363.3;363.3;367.2;367.2;378.9;363.3;390.6;390.6;386.7;390.6;390.6;371.1;363.3;382.8;382.8;382.8;367.2;363.3;363.3;406.2;367.2;367.2;386.7;406.2;406.2;351.6;378.9;378.9;371.1	3.692	386.7	19.5	descending moan
7	Spectrogram 1	1	69.543122618	73.867047341	344.0	397.2	4.324	363.3;363.3;347.7;386.7;386.7;386.7;355.5;382.8;382.8;363.3;363.3;375.0;363.3;386.7;378.9;378.9;378.9;371.1;378.9;386.7;386.7;386.7;390.6;386.7;386.7;386.7;386.7;386.7;386.7;371.1;371.1;363.3;363.3;375.0;375.0;359.4;359.4;363.3;375.0;375.0;394.5;394.5;390.6;394.5;394.5;390.6;394.5;394.5;382.8;382.8;390.6;390.6;386.7;394.5	3.339	386.7	15.6	descending moan
8	Spectrogram 1	1	81.433915605	86.118167387	336.9	372.3	4.684	355.5;363.3;363.3;359.4;363.3;363.3;363.3;363.3;363.3;371.1;371.1;371.1;367.2;367.2;367.2;371.1;367.2;367.2;343.8;343.8;347.7;355.5;363.3;367.2;363.3;363.3;363.3;363.3;355.5;355.5;351.6;347.7;343.8;359.4;359.4;359.4;355.5;347.7;359.4;343.8;347.7;347.7;351.6;355.5;355.5;355.5;355.5;359.4;355.5;355.5;363.3;363.3;363.3;347.7;347.7;351.6;343.8;343.8;351.6	3.012	363.3	11.7	descending moan
9	Spectrogram 1	1	98.369287434	101.612230976	331.6	370.6	3.243	351.6;339.8;335.9;363.3;363.3;363.3;359.4;351.6;351.6;359.4;363.3;359.4;359.4;359.4;359.4;359.4;355.5;351.6;351.6;359.4;347.7;343.8;343.8;355.5;359.4;359.4;355.5;355.5;355.5;355.5;355.5;363.3;359.4;359.4;355.5;355.5;359.4;343.8;355.5;351.6	2.538	359.4	7.8	descending moan
10	Spectrogram 1	1	110.620407481	113.142696902	322.7	370.6	2.522	335.9;339.8;343.8;343.8;343.8;343.8;347.7;351.6;351.6;351.6;355.5;355.5;351.6;339.8;339.8;339.8;351.6;332.0;343.8;343.8;355.5;355.5;355.5;351.6;351.6;347.7;335.9;347.7;339.8;339.8;347.7;339.8	2.769	351.6	7.8	descending moan
