Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Unit Type	Contour	Description
1	Spectrogram 1	1	42.618817012	44.059234861	769.3	1032.1	1.440	839.8;851.6;785.2;785.2;785.2;816.4;800.8;800.8;808.6;855.5;855.5;996.1;996.1;1000.0;867.2;867.2;867.2	5.649	855.5	97.7	A	1	ascending shriek
2	Spectrogram 1	1	45.038718999	46.306286706	769.3	1037.2	1.268	1015.6;1015.6;839.8;785.2;796.9;808.6;808.6;816.4;816.4;867.2;867.2;808.6;816.4;816.4;824.2	5.343	808.6	62.5	A	1	ascending shriek
3	Spectrogram 1	1	48.841422121	50.685156967	362.3	455.0	1.844	418.0;418.0;418.0;433.6;433.6;418.0;418.0;414.1;414.1;414.1;414.1;414.1;414.1;406.2;402.3;402.3;398.4;394.5;390.6;390.6;394.5;394.5	3.894	402.3	19.5	B	1	descending moan
4	Spectrogram 1	1	58.809113636	59.961447916	762.5	917.0	1.152	785.2;793.0;796.9;793.0;793.0;816.4;816.4;855.5;867.2;867.2;875.0;824.2;824.2;839.8	4.505	793.0	46.9	A	1	ascending shriek
5	Spectrogram 1	1	62.093266332	64.397934891	342.6	383.8	2.305	367.2;367.2;367.2;363.3;367.2;367.2;367.2;367.2;371.1;371.1;371.1;371.1;371.1;367.2;367.2;367.2;371.1;371.1;363.3;367.2;367.2;367.2;367.2;371.1;371.1;363.3;363.3;363.3;367.2	2.695	367.2	7.8	B	1	modulated moan
6	Spectrogram 1	1	69.444236014	70.654187007	638.8	870.7	1.210	660.2;671.9;671.9;691.4;789.1;789.1;785.2;800.8;800.8;800.8;793.0;847.7;847.7;800.8;800.8	5.017	800.8	70.3	A	1	ascending shriek
7	Spectrogram 1	1	71.979371428	73.707872847	626.0	881.0	1.729	839.8;648.4;656.2;656.2;668.0;687.5;707.0;793.0;789.1;789.1;800.8;800.8;824.2;824.2;863.3;851.6;851.6;867.2;824.2;820.3;765.6	5.708	656.2	152.3	A	1	ascending shriek
8	Spectrogram 1	1	75.666841122	78.259593250	316.8	404.4	2.593	375.0;355.5;351.6;355.5;359.4;367.2;367.2;367.2;378.9;378.9;378.9;378.9;375.0;378.9;378.9;378.9;375.0;375.0;375.0;371.1;363.3;363.3;363.3;367.2;343.8;343.8;347.7;351.6;339.8;339.8;339.8;351.6	3.563	363.3	15.6	B	1	descending moan
9	Spectrogram 1	1	83.848414505	85.115982212	618.2	711.0	1.268	656.2;683.6;660.2;648.4;644.5;644.5;644.5;640.6;648.4;644.5;683.6;683.6;687.5;644.5;660.2	3.613	644.5	15.6	C	1	ascending shriek
10	Spectrogram 1	1	86.325933206	87.708734341	595.1	687.8	1.383	656.2;609.4;648.4;648.4;652.3;652.3;656.2;644.5;644.5;640.6;640.6;683.6;683.6;664.1;625.0;640.6;660.2	3.953	640.6	19.5	C	1	ascending shriek
11	Spectrogram 1	1	90.013402899	92.318071458	306.5	378.7	2.305	359.4;371.1;363.3;363.3;363.3;351.6;355.5;355.5;351.6;347.7;347.7;343.8;347.7;347.7;347.7;347.7;347.7;343.8;343.8;343.8;339.8;339.8;339.8;335.9;332.0;328.1;335.9;335.9	3.087	343.8	7.8	B	1	descending moan
12	Spectrogram 1	1	97.396915949	98.491633514	600.2	716.1	1.095	644.5;644.5;660.2;656.2;668.0;668.0;660.2;660.2;668.0;675.8;683.6;695.3;656.2	4.164	644.5	19.5	C	1	ascending shriek
13	Spectrogram 1	1	99.528734365	101.314852498	582.2	685.2	1.786	668.0;644.5;597.7;601.6;601.6;632.8;648.4;648.4;648.4;644.5;644.5;652.3;668.0;652.3;652.3;679.7;652.3;675.8;652.3;652.3;668.0;652.3	4.317	644.5	27.3	C	1	ascending shriek
14	Spectrogram 1	1	103.273820773	105.808956187	311.7	352.9	2.535	332.0;335.9;343.8;343.8;343.8;343.8;339.8;339.8;335.9;335.9;335.9;335.9;335.9;335.9;335.9;335.9;332.0;332.0;332.0;332.0;332.0;328.1;332.0;324.2;324.2;328.1;332.0;328.1;328.1;332.0;332.0;332.0	2.518	335.9	3.9	B	1	descending moan
15	Spectrogram 1	1	110.360676591	111.628244298	564.1	711.0	1.268	621.1;628.9;628.9;668.0;668.0;668.0;656.2;652.3;652.3;668.0;640.6;640.6;671.9;668.0;668.0	4.066	652.3	19.5	C	1	ascending shriek
16	Spectrogram 1	1	113.068662147	114.451463282	574.4	700.7	1.383	664.1;617.2;632.8;648.4;652.3;652.3;652.3;652.3;648.4;652.3;652.3;652.3;652.3;648.4;648.4;671.9	3.666	652.3	7.8	C	1	ascending shriek
17	Spectrogram 1	1	116.583281699	119.406500683	296.2	350.3	2.823	335.9;335.9;339.8;335.9;335.9;332.0;332.0;332.0;328.1;328.1;328.1;324.2;324.2;328.1;328.1;328.1;328.1;328.1;328.1;328.1;328.1;328.1;324.2;320.3;320.3;316.4;312.5;312.5;324.2;324.2;316.4;316.4;312.5;328.1;328.1	2.800	328.1	7.8	B	1	descending moan
18	Spectrogram 1	1	126.037813170	128.861032154	185.5	448.2	2.823	234.4;324.2;210.9;210.9;210.9;210.9;210.9;210.9;210.9;210.9;214.8;214.8;214.8;214.8;214.8;214.8;214.8;214.8;214.8;214.8;210.9;210.9;210.9;414.1;414.1;406.2;406.2;203.1;199.2;406.2;406.2;406.2;406.2;398.4;398.4	4.392	214.8	187.5	D	1	descending moan
19	Spectrogram 1	1	130.762383715	132.202801564	278.2	327.1	1.440	300.8;300.8;304.7;304.7;304.7;308.6;312.5;308.6;308.6;304.7;304.7;304.7;300.8;300.8;300.8;308.6;304.7;304.7	2.436	304.7	7.8	B	1	descending moan
20	Spectrogram 1	1	140.499608375	142.689043506	164.9	440.5	2.189	207.0;207.0;207.0;210.9;207.0;207.0;207.0;203.1;203.1;207.0;203.1;203.1;203.1;203.1;203.1;199.2;390.6;390.6;386.7;375.0;375.0;195.3;187.5;187.5;363.3;355.5;363.3	4.527	203.1	183.6	D	1	descending moan
21	Spectrogram 1	1	144.763245209	146.779830197	270.5	322.0	2.017	304.7;293.0;293.0;289.1;293.0;293.0;296.9;293.0;293.0;296.9;296.9;300.8;293.0;293.0;296.9;300.8;304.7;293.0;296.9;300.8;300.8;308.6;296.9;296.9;300.8	2.427	296.9	7.8	B	1	modulated moan
22	Spectrogram 1	1	154.622133498	157.560585910	154.6	414.7	2.938	203.1;203.1;203.1;207.0;207.0;203.1;203.1;203.1;199.2;199.2;195.3;191.4;191.4;191.4;191.4;187.5;187.5;183.6;183.6;183.6;183.6;179.7;179.7;179.7;179.7;175.8;175.8;171.9;171.9;171.9;171.9;195.3;195.3;332.0;332.0;375.0	4.637	175.8	27.3	D	1	descending moan
23	Spectrogram 1	1	159.634787613	161.075205462	262.8	347.8	1.440	285.2;289.1;289.1;293.0;296.9;296.9;296.9;296.9;296.9;296.9;296.9;296.9;293.0;332.0;296.9;296.9;300.8	2.512	296.9	7.8	B	1	modulated moan + upsweep
24	Spectrogram 1	1	168.388825035	171.269660733	146.8	422.5	2.881	207.0;207.0;207.0;207.0;203.1;199.2;195.3;195.3;195.3;195.3;195.3;187.5;187.5;183.6;183.6;183.6;183.6;179.7;351.6;347.7;343.8;343.8;171.9;339.8;335.9;328.1;328.1;335.9;335.9;328.1;312.5;312.5;324.2;335.9;335.9;312.5	5.315	183.6	164.1	D	1	descending moan
25	Spectrogram 1	1	173.286245722	174.899513713	257.6	322.0	1.613	277.3;285.2;285.2;289.1;293.0;300.8;293.0;293.0;293.0;296.9;296.9;296.9;293.0;289.1;293.0;293.0;300.8;293.0;293.0	2.487	296.9	7.8	B	1	modulated moan
26	Spectrogram 1	1	182.332069814	184.809588515	141.7	404.4	2.478	199.2;195.3;195.3;195.3;195.3;195.3;195.3;195.3;195.3;195.3;195.3;199.2;195.3;195.3;191.4;187.5;179.7;179.7;175.8;175.8;171.9;168.0;168.0;164.1;164.1;164.1;164.1;168.0;332.0;164.1;164.1	4.139	195.3	7.8	D	1	descending moan
27	Spectrogram 1	1	186.883790217	188.497058208	265.3	319.4	1.613	269.5;281.2;281.2;285.2;289.1;289.1;289.1;289.1;293.0;296.9;293.0;293.0;293.0;296.9;296.9;289.1;293.0;293.0;293.0	2.382	293.0	7.8	B	1	modulated moan
28	Spectrogram 1	1	195.915777906	198.854230318	144.3	422.5	2.938	187.5;195.3;195.3;195.3;195.3;199.2;195.3;199.2;199.2;203.1;203.1;199.2;199.2;203.1;203.1;199.2;195.3;195.3;195.3;195.3;191.4;191.4;378.9;187.5;367.2;367.2;183.6;343.8;343.8;343.8;335.9;343.8;351.6;347.7;339.8;339.8;339.8	4.732	199.2	171.9	D	1	descending moan
29	Spectrogram 1	1	201.043665449	202.195999728	247.3	304.0	1.152	277.3;277.3;273.4;277.3;277.3;277.3;277.3;277.3;281.2;281.2;281.2;281.2;277.3;269.5	2.298	281.2	7.8	B	1	modulated moan
30	Spectrogram 1	1	210.074029498	212.609164913	128.8	414.7	2.535	203.1;203.1;203.1;199.2;199.2;199.2;199.2;195.3;195.3;195.3;191.4;191.4;191.4;195.3;195.3;191.4;187.5;187.5;183.6;351.6;351.6;343.8;343.8;168.0;359.4;160.2;156.2;160.2;160.2;164.1;207.0;324.2	4.577	195.3	164.1	D	1	descending moan
31	Spectrogram 1	1	214.395283045	215.835700895	255.0	334.9	1.440	277.3;285.2;293.0;293.0;296.9;300.8;300.8;304.7;304.7;304.7;304.7;304.7;304.7;304.7;300.8;289.1;277.3	3.000	304.7	11.7	B	1	descending moan
32	Spectrogram 1	1	217.140098711	217.889115992	144.3	239.6	0.749	175.8;171.9;183.6;183.6;222.7;222.7;226.6;230.5	4.239	183.6	35.2	E	1	grunt (long)
33	Spectrogram 1	1	218.926216844	219.732850839	134.0	219.0	0.807	168.0;179.7;187.5;187.5;187.5;195.3;199.2;191.4;210.9	3.365	187.5	11.7	E	1	grunt (long)
34	Spectrogram 1	1	220.366634693	221.576585686	136.5	216.4	1.210	179.7;195.3;203.1;203.1;179.7;175.8;171.9;168.0;171.9;171.9;171.9;175.8;179.7;191.4;168.0	3.407	171.9	11.7	E	1	descending grunt
35	Spectrogram 1	1	221.922285970	223.074620249	136.5	206.1	1.152	171.9;199.2;171.9;168.0;168.0;164.1;168.0;168.0;168.0;168.0;164.1;164.1;168.0;168.0	2.555	168.0	7.8	E	1	modulated moan
36	Spectrogram 1	1	224.975971810	227.683957366	159.7	466.3	2.708	300.8;242.2;242.2;238.3;238.3;242.2;242.2;242.2;242.2;242.2;242.2;238.3;238.3;226.6;226.6;218.8;218.8;207.0;207.0;210.9;207.0;207.0;203.1;203.1;203.1;390.6;390.6;378.9;371.1;367.2;339.8;187.5;187.5;339.8	5.324	207.0	148.4	D	1	descending moan
37	Spectrogram 1	1	229.700542355	231.083343490	237.0	298.8	1.383	269.5;273.4;273.4;273.4;277.3;273.4;269.5;269.5;269.5;269.5;273.4;265.6;253.9;265.6;273.4;273.4	2.524	269.5	3.9	B	1	descending moan
38	Spectrogram 1	1	232.570724751	233.780675744	121.1	237.0	1.210	140.6;171.9;199.2;136.7;140.6;152.3;164.1;210.9;210.9;207.0;207.0;148.4;160.2;214.8;214.8	4.466	210.9	54.7	E	1	grunt (long)
39	Spectrogram 1	1	234.587309740	235.624410591	126.2	206.1	1.037	148.4;140.6;140.6;148.4;160.2;160.2;160.2;160.2;171.9;187.5;160.2;160.2	3.316	160.2	7.8	E	1	grunt (long)
40	Spectrogram 1	1	236.579677559	237.847245266	131.1	190.3	1.268	148.4;144.5;144.5;148.4;152.3;152.3;156.2;156.2;156.2;156.2;160.2;168.0;156.2;156.2;152.3	2.566	156.2	3.9	E	1	ascending grunt
41	Spectrogram 1	1	238.682687618	239.892638612	121.1	175.8	1.210	144.5;144.5;152.3;156.2;156.2;152.3;152.3;148.4;140.6;152.3;152.3;148.4;148.4;144.5	2.609	152.3	3.9	E	1	modulated moan
